,PLAYER,TEAM,AGE,DATE OF BIRTH,COUNTRY,WEIGHT,HEIGHT,POS,HANDED,DRAFTED,SLIDE CAND.,WAIVERS EXEMPT,ARB. ELIG,GP,G,A,P,P/GP,+/-,Sh,Sh%,TOI,ixG,iSh,iCF,iFF,ixG60,iSh60,iCF60,iFF60,SF,SA,SF%,CF,CA,CF%,FF,FA,FF%,xGF,xGA,xGF%,W,L,SO,GAA,Sv%,GA60,xGA60,GSAx60,SIGNING TEAM,TYPE,EXTENSION,SIGNING DATE,SIGNING AGE,ARB. ELIG.1,ARB. REQ,CLAUSE,LENGTH,SIGNING,EXPIRY,EXP. YEAR,CAP HIT,CAP HIT %,AAV,SALARY,BASE SALARY,MINORS,S.BONUS,P.BONUS
4,455. Alexandre Texier,CBJ,23,"Sep. 13, 1999",France,192 lbs - 87 kg,"6'1"" - 185 cm","LW, C, RW",Left,45 - Round 2 - 2017 (CBJ),,,✔,78,12.0,18.0,30.0,0.38,-5.0,109.0,0.11,15:10,10.72,109.0,235.0,157.0,0.54,5.52,11.91,7.96,549.0,736.0,42.72,1168.0,1416.0,45.2,823.0,1058.0,43.75,51.52,84.8,37.79,,,,,,,,,CBJ,Standard (1-way),,"Jul. 28, 2021",21,,,,3,RFA,RFA,2024,"$1,525,000",1.9%,"$1,525,000","$1,750,000","$1,750,000","$1,750,000",$0,$0
5,456. Matt Martin,NYI,34,"May 8, 1989",Canada,220 lbs - 100 kg,"6'3"" - 191 cm","LW, RW",Left,148 - Round 5 - 2008 (NYI),,,,57,4.0,4.0,8.0,0.14,7.0,48.0,0.08,09:18,5.25,48.0,75.0,62.0,0.59,5.43,8.48,7.01,194.0,241.0,44.6,395.0,552.0,41.71,291.0,364.0,44.43,18.79,20.56,47.75,,,,,,,,,NYI,Standard (1-way),,"Jan. 11, 2021",31,,,,4,UFA,UFA,2024,"$1,500,000",1.8%,"$1,500,000","$1,500,000","$1,500,000","$1,500,000",$0,$0
6,457. Brandon Hagel,TBL,24,"Aug. 27, 1998",Canada,175 lbs - 79 kg,"6'0"" - 183 cm",LW,Left,159 - Round 6 - 2016 (BUF),,,✔,82,26.0,49.0,75.0,0.91,1.0,184.0,0.14,19:15,28.68,184.0,344.0,260.0,1.09,6.99,13.07,9.88,815.0,776.0,51.23,1642.0,1519.0,51.95,1181.0,1095.0,51.89,96.66,92.21,51.18,,,,,,,,,CHI,Standard (1-way),,"Aug. 6, 2021",22,,,,3,RFA,RFA,2024,"$1,500,000",1.8%,"$1,500,000","$2,050,000","$2,050,000","$2,050,000",$0,$0
7,458. Owen Tippett,PHI,24,"Feb. 16, 1999",Canada,183 lbs - 83 kg,"6'0"" - 183 cm","RW, LW",Right,10 - Round 1 - 2017 (FLA),,,✔,78,28.0,25.0,53.0,0.68,-5.0,289.0,0.1,16:35,26.06,289.0,544.0,402.0,1.21,13.4,25.22,18.64,835.0,552.0,60.2,1591.0,1170.0,57.62,1177.0,790.0,59.84,81.05,57.67,58.43,,,,,,,,,PHI,Standard (1-way),,"Jul. 29, 2022",23,,,,2,RFA,RFA,2024,"$1,500,000",1.8%,"$1,500,000","$1,750,000","$1,750,000","$1,750,000",$0,$0
8,459. Jani Hakanpää,DAL,31,"Mar. 31, 1992",Finland,218 lbs - 99 kg,"6'5"" - 196 cm",RD,Right,104 - Round 4 - 2010 (STL),,,,64,2.0,10.0,12.0,0.19,10.0,56.0,0.04,18:38,1.58,56.0,146.0,85.0,0.08,2.82,7.34,4.26,491.0,728.0,40.28,965.0,1433.0,40.24,695.0,1023.0,40.45,48.78,71.81,40.45,,,,,,,,,DAL,Standard (1-way),,"Jul. 29, 2021",29,,,,3,UFA,UFA,2024,"$1,500,000",1.8%,"$1,500,000","$2,000,000","$2,000,000","$2,000,000",$0,$0
9,460. Antti Raanta,CAR,34,"May 12, 1989",Finland,195 lbs - 88 kg,"6'0"" - 183 cm",G,Left,,,,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,7.0,1.0,2.99,0.872,2.99,2.6,-0.39,CAR,Standard (1-way),✔,"Jul. 1, 2023",34,,,,1,UFA,UFA,2024,"$1,500,000",1.8%,"$1,500,000","$1,500,000","$1,500,000","$1,500,000",$0,$0
10,461. Eetu Luostarinen,FLA,24,"Sep. 2, 1998",Finland,184 lbs - 83 kg,"6'3"" - 191 cm","LW, C",Left,42 - Round 2 - 2017 (CAR),,,✔,82,12.0,15.0,27.0,0.33,1.0,119.0,0.1,15:56,18.39,120.0,236.0,184.0,0.84,5.51,10.84,8.44,634.0,623.0,50.44,1333.0,1247.0,51.67,930.0,922.0,50.22,65.26,68.03,48.96,,,,,,,,,FLA,Standard (1-way),✔,"Jul. 8, 2022",23,✔,,,2,RFA,RFA,2024,"$1,500,000",1.8%,"$1,500,000","$1,500,000","$1,500,000","$1,500,000",$0,$0
11,462. Pheonix Copley,LAK,31,"Jan. 18, 1992",United States,200 lbs - 91 kg,"6'4"" - 193 cm",G,Left,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,1.0,1.0,3.17,0.87,3.16,2.88,-0.28,LAK,Standard (1-way),✔,"Feb. 10, 2023",31,,,,1,UFA,UFA,2024,"$1,500,000",1.8%,"$1,500,000","$1,500,000","$775,000","$1,500,000","$725,000",$0
12,463. James Reimer,DET,35,"Mar. 15, 1988",Canada,220 lbs - 100 kg,"6'2"" - 188 cm",G,Left,99 - Round 4 - 2006 (TOR),,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,8.0,2.0,3.11,0.904,3.11,3.4,0.3,DET,35+ (1-way),,"Jul. 1, 2023",35,,,M-NTC,1,UFA,UFA,2024,"$1,500,000",1.8%,"$1,500,000","$1,500,000","$1,500,000","$1,500,000",$0,$0
13,464. Alex Nedeljkovic,PIT,27,"Jan. 7, 1996",United States,189 lbs - 86 kg,"6'0"" - 183 cm",G,Left,37 - Round 2 - 2014 (CAR),,,,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.0,7.0,1.0,2.97,0.902,2.97,2.99,0.02,PIT,Standard (1-way),,"Jul. 1, 2023",27,,,,1,UFA,UFA,2024,"$1,500,000",1.8%,"$1,500,000","$1,500,000","$1,500,000","$1,500,000",$0,$0
14,465. Tomas Tatar,SEA,32,"Dec. 1, 1990",Slovakia,183 lbs - 83 kg,"5'10"" - 178 cm","LW, RW",Left,60 - Round 2 - 2009 (DET),,,,70,9.0,15.0,24.0,0.34,8.0,72.0,0.13,12:27,10.31,70.0,157.0,115.0,0.72,4.88,10.96,8.02,410.0,420.0,49.4,837.0,820.0,50.51,586.0,600.0,49.41,36.61,39.04,48.39,,,,,,,,,COL,Standard (1-way),,"Sep. 12, 2023",32,,,,1,UFA,UFA,2024,"$1,500,000",1.8%,"$1,500,000","$1,500,000","$1,500,000","$1,500,000",$0,$0
15,466. Kailer Yamamoto,SEA,24,"Sep. 29, 1998",United States,153 lbs - 69 kg,"5'8"" - 173 cm",RW,Right,22 - Round 1 - 2017 (EDM),,,✔,59,8.0,8.0,16.0,0.27,-9.0,61.0,0.13,11:59,9.61,61.0,108.0,87.0,0.82,5.17,9.16,7.38,350.0,267.0,56.73,785.0,536.0,59.42,532.0,385.0,58.02,38.4,25.29,60.29,,,,,,,,,SEA,Standard (1-way),,"Jul. 2, 2023",24,✔,,,1,UFA,RFA,2024,"$1,500,000",1.8%,"$1,500,000","$1,500,000","$1,500,000","$1,500,000",$0,$0
16,467. Michael Rasmussen,DET,24,"Apr. 17, 1999",Canada,221 lbs - 100 kg,"6'6"" - 198 cm","LW, C",Left,9 - Round 1 - 2017 (DET),,,✔,75,13.0,20.0,33.0,0.44,8.0,101.0,0.13,15:11,16.17,101.0,185.0,148.0,0.85,5.32,9.74,7.79,452.0,614.0,42.4,901.0,1340.0,40.21,631.0,941.0,40.14,47.46,69.08,40.72,,,,,,,,,DET,Standard (1-way),✔,"Jul. 22, 2021",22,,,,3,RFA,RFA,2024,"$1,460,000",1.8%,"$1,460,000","$1,900,000","$1,900,000","$1,900,000",$0,$0
17,468. Eeli Tolvanen,SEA,24,"Apr. 22, 1999",Finland,191 lbs - 87 kg,"5'10"" - 178 cm","LW, RW",Left,30 - Round 1 - 2017 (NSH),,,✔,81,16.0,25.0,41.0,0.51,-15.0,153.0,0.1,15:38,17.82,153.0,328.0,226.0,0.85,7.32,15.7,10.82,633.0,538.0,54.06,1434.0,1121.0,56.13,966.0,817.0,54.18,68.47,49.99,57.8,,,,,,,,,NSH,Standard (1-way),,"Aug. 30, 2021",22,,,,3,RFA,RFA,2024,"$1,450,000",1.8%,"$1,450,000","$1,450,000","$1,450,000","$1,450,000",$0,$0
18,469. Fabian Zetterlund,SJS,23,"Aug. 25, 1999",Sweden,196 lbs - 89 kg,"5'11"" - 180 cm",RW,Right,63 - Round 3 - 2017 (NJD),,,✔,82,24.0,20.0,44.0,0.54,-34.0,204.0,0.12,18:51,23.21,200.0,417.0,303.0,0.91,7.86,16.39,11.91,723.0,807.0,47.25,1502.0,1671.0,47.34,1073.0,1192.0,47.37,83.46,99.8,45.54,,,,,,,,,SJS,Standard (1-way),,"Jul. 1, 2023",23,✔,,,2,RFA,RFA,2025,"$1,450,000",1.7%,"$1,450,000","$1,400,000","$1,400,000","$1,400,000",$0,$0
19,470. Jordan Harris,MTL,22,"Jul. 7, 2000",United States,189 lbs - 86 kg,"5'11"" - 180 cm",LD/RD,Left,71 - Round 3 - 2018 (MTL),,,✔,56,3.0,11.0,14.0,0.25,-5.0,43.0,0.07,17:28,1.54,43.0,97.0,64.0,0.09,2.64,5.95,3.92,393.0,526.0,42.76,832.0,1064.0,43.88,581.0,749.0,43.68,38.42,57.85,39.9,,,,,,,,,MTL,Standard (1-way),✔,"Feb. 10, 2023",22,✔,,,2,RFA,RFA,2025,"$1,400,000",1.7%,"$1,400,000","$1,400,000","$1,400,000","$1,400,000",$0,$0
20,471. Dylan Samberg,WPG,24,"Jan. 24, 1999",United States,190 lbs - 86 kg,"6'3"" - 191 cm",LD,Left,43 - Round 2 - 2017 (WPG),,,✔,78,1.0,17.0,18.0,0.23,16.0,77.0,0.01,15:37,2.12,77.0,180.0,108.0,0.11,3.86,9.02,5.42,536.0,589.0,47.64,1063.0,1221.0,46.54,762.0,870.0,46.69,49.39,64.7,43.29,,,,,,,,,WPG,Standard (1-way),,"Jul. 5, 2023",24,✔,,,2,RFA,RFA,2025,"$1,400,000",1.7%,"$1,400,000","$1,300,000","$1,300,000","$1,300,000",$0,$0
21,472. William Carrier,VGK,28,"Dec. 20, 1994",Canada,218 lbs - 99 kg,"6'2"" - 188 cm",LW,Left,57 - Round 2 - 2013 (STL),,,,39,6.0,2.0,8.0,0.21,3.0,65.0,0.09,11:10,7.67,65.0,126.0,97.0,1.06,8.94,17.35,13.36,238.0,181.0,56.8,469.0,402.0,53.85,340.0,275.0,55.28,22.77,14.3,61.42,,,,,,,,,VGK,Standard (1-way),✔,"Feb. 27, 2020",25,✔,,,4,RFA,UFA,2024,"$1,400,000",1.7%,"$1,400,000","$1,750,000","$1,750,000","$1,750,000",$0,$0
22,473. Philippe Myers,TBL,26,"Jan. 25, 1997",Canada,210 lbs - 95 kg,"6'5"" - 196 cm",RD,Right,,,,,5,0.0,0.0,0.0,0.0,-2.0,6.0,0.0,11:41,0.14,6.0,17.0,9.0,0.14,6.16,17.44,9.24,29.0,26.0,52.73,67.0,52.0,56.3,46.0,36.0,56.1,3.04,3.25,48.33,,,,,,,,,TBL,Standard (1-way),✔,"Aug. 26, 2022",26,✔,,,1,RFA,UFA,2024,"$1,400,000",1.7%,"$1,400,000","$1,400,000","$900,000","$1,400,000","$500,000",$0
23,474. Keegan Kolesar,VGK,26,"Apr. 8, 1997",Canada,216 lbs - 98 kg,"6'2"" - 188 cm",RW,Right,69 - Round 3 - 2015 (CBJ),,,,79,8.0,10.0,18.0,0.23,-8.0,73.0,0.11,10:51,7.28,72.0,140.0,104.0,0.51,5.09,9.9,7.36,348.0,411.0,45.85,744.0,882.0,45.76,495.0,607.0,44.92,31.32,35.29,47.02,,,,,,,,,VGK,Standard (1-way),,"Aug. 5, 2022",25,✔,✔,,3,RFA,UFA,2025,"$1,400,000",1.7%,"$1,400,000","$1,400,000","$1,400,000","$1,400,000",$0,$0
24,475. Ryan Poehling,PHI,24,"Jan. 3, 1999",United States,204 lbs - 93 kg,"6'2"" - 188 cm","C, LW",Left,25 - Round 1 - 2017 (MTL),,,✔,77,11.0,17.0,28.0,0.36,-11.0,111.0,0.1,14:59,12.31,111.0,190.0,153.0,0.64,5.77,9.86,7.95,564.0,534.0,51.37,1090.0,1314.0,45.34,798.0,835.0,48.87,57.05,62.72,47.63,,,,,,,,,PHI,Standard (1-way),,"Jul. 1, 2023",24,✔,,,1,UFA,RFA,2024,"$1,400,000",1.7%,"$1,400,000","$1,400,000","$1,400,000","$1,400,000",$0,$0
25,476. Timothy Liljegren,TOR,24,"Apr. 30, 1999",Sweden,190 lbs - 86 kg,"6'0"" - 183 cm",RD,Right,17 - Round 1 - 2017 (TOR),,,✔,55,3.0,20.0,23.0,0.42,3.0,62.0,0.05,19:39,3.31,62.0,160.0,96.0,0.18,3.44,8.88,5.33,610.0,534.0,53.32,1162.0,1124.0,50.83,867.0,788.0,52.39,63.78,51.81,55.18,,,,,,,,,TOR,Standard (1-way),✔,"Jun. 27, 2022",23,,,,2,RFA,RFA,2024,"$1,400,000",1.7%,"$1,400,000","$1,500,000","$1,500,000","$1,500,000",$0,$0
26,477. Rasmus Sandin,WSH,23,"Mar. 7, 2000",Sweden,183 lbs - 83 kg,"5'11"" - 180 cm",LD,Left,29 - Round 1 - 2018 (TOR),,,✔,68,3.0,20.0,23.0,0.34,-13.0,79.0,0.04,21:07,4.97,79.0,194.0,111.0,0.21,3.3,8.11,4.63,657.0,711.0,48.03,1326.0,1440.0,47.94,936.0,1026.0,47.71,69.27,70.86,49.43,,,,,,,,,TOR,Standard (1-way),,"Sep. 29, 2022",22,,,,2,RFA,RFA,2024,"$1,400,000",1.7%,"$1,400,000","$1,600,000","$1,600,000","$1,600,000",$0,$0
27,478. Michael McLeod,NJD,25,"Feb. 3, 1998",Canada,188 lbs - 85 kg,"6'2"" - 188 cm",C,Right,12 - Round 1 - 2016 (NJD),,,✔,45,10.0,9.0,19.0,0.42,6.0,73.0,0.14,15:08,10.19,73.0,125.0,101.0,0.9,6.43,11.01,8.89,335.0,349.0,48.98,667.0,682.0,49.44,473.0,484.0,49.43,32.75,37.57,46.57,,,,,,,,,NJD,Standard (1-way),,"Jul. 1, 2023",25,✔,,,1,UFA,RFA,2024,"$1,400,000",1.7%,"$1,400,000","$1,400,000","$1,400,000","$1,400,000",$0,$0
28,479. Morgan Barron,WPG,24,"Dec. 2, 1998",Canada,220 lbs - 100 kg,"6'4"" - 193 cm","LW, RW",Left,174 - Round 6 - 2017 (NYR),,,✔,80,11.0,7.0,18.0,0.23,10.0,94.0,0.12,10:29,9.73,94.0,149.0,121.0,0.7,6.72,10.65,8.65,346.0,433.0,44.42,691.0,877.0,44.07,496.0,625.0,44.25,30.81,46.77,39.71,,,,,,,,,WPG,Standard (1-way),,"Jul. 17, 2023",24,✔,✔,,2,RFA,RFA,2025,"$1,350,000",1.6%,"$1,350,000","$1,300,000","$1,300,000","$1,300,000",$0,$0
29,480. Ryan Reaves,TOR,36,"Jan. 20, 1987",Canada,225 lbs - 102 kg,"6'2"" - 188 cm",RW,Right,156 - Round 5 - 2005 (STL),,,,49,4.0,2.0,6.0,0.12,-13.0,26.0,0.15,08:06,3.82,26.0,60.0,46.0,0.57,3.92,9.05,6.94,159.0,160.0,49.84,344.0,381.0,47.45,236.0,255.0,48.07,13.84,16.34,45.86,,,,,,,,,TOR,35+ (1-way),,"Jul. 1, 2023",36,,,,3,UFA,UFA,2026,"$1,350,000",1.6%,"$1,350,000","$1,350,000","$1,350,000","$1,350,000",$0,$0
30,481. Nathan Bastian,NJD,25,"Dec. 6, 1997",Canada,205 lbs - 93 kg,"6'4"" - 193 cm",RW,Right,41 - Round 2 - 2016 (NJD),,,,54,5.0,7.0,12.0,0.22,-10.0,57.0,0.09,10:09,9.35,57.0,99.0,80.0,1.02,6.23,10.82,8.75,242.0,274.0,46.9,497.0,518.0,48.97,323.0,382.0,45.82,23.26,28.34,45.08,,,,,,,,,NJD,Standard (1-way),,"Jul. 1, 2023",25,,,,2,UFA,UFA,2025,"$1,350,000",1.6%,"$1,350,000","$1,350,000","$1,350,000","$1,350,000",$0,$0
31,482. Carl Grundström,LAK,25,"Dec. 1, 1997",Sweden,201 lbs - 91 kg,"6'0"" - 183 cm","LW, RW",Left,57 - Round 2 - 2016 (TOR),,,✔,50,8.0,4.0,12.0,0.24,-2.0,95.0,0.08,10:56,10.24,95.0,177.0,134.0,1.12,10.42,19.42,14.7,305.0,240.0,55.96,618.0,521.0,54.26,437.0,364.0,54.56,28.2,25.58,52.44,,,,,,,,,LAK,Standard (1-way),✔,"Jul. 11, 2022",24,✔,,,2,RFA,RFA,2024,"$1,300,000",1.6%,"$1,300,000","$1,300,000","$1,300,000","$1,300,000",$0,$0
32,483. Kevin Rooney,CGY,30,"May 21, 1993",United States,201 lbs - 91 kg,"6'2"" - 188 cm",C,Left,,,,,33,3.0,1.0,4.0,0.12,-4.0,27.0,0.11,11:12,3.11,25.0,41.0,28.0,0.52,4.19,6.87,4.69,130.0,212.0,38.01,272.0,451.0,37.61,184.0,312.0,37.1,11.87,24.12,32.97,,,,,,,,,CGY,Standard (1-way),,"Jul. 13, 2022",29,,,,2,UFA,UFA,2024,"$1,300,000",1.6%,"$1,300,000","$1,300,000","$1,300,000","$1,300,000",$0,$0
33,484. Nic Dowd,WSH,33,"May 27, 1990",United States,195 lbs - 88 kg,"6'1"" - 185 cm",C,Right,198 - Round 7 - 2009 (LAK),,,,64,12.0,10.0,22.0,0.34,-2.0,61.0,0.2,15:12,8.99,61.0,103.0,86.0,0.55,3.76,6.35,5.3,303.0,529.0,36.42,660.0,1182.0,35.83,458.0,804.0,36.29,35.15,57.47,37.96,,,,,,,,,WSH,Standard (1-way),✔,"Nov. 14, 2021",32,,,,3,UFA,UFA,2025,"$1,300,000",1.6%,"$1,300,000","$1,300,000","$1,300,000","$1,300,000",$0,$0
34,485. Max Jones,ANA,25,"Feb. 17, 1998",United States,220 lbs - 100 kg,"6'3"" - 191 cm","LW, RW",Left,24 - Round 1 - 2016 (ANA),,,✔,52,5.0,10.0,15.0,0.29,-6.0,76.0,0.07,12:03,10.11,76.0,133.0,111.0,0.97,7.27,12.73,10.62,269.0,321.0,45.59,545.0,625.0,46.58,400.0,462.0,46.4,26.86,30.55,46.79,,,,,,,,,ANA,Standard (1-way),,"Aug. 9, 2021",23,,,,3,RFA,RFA,2024,"$1,295,000",1.6%,"$1,295,000","$1,500,000","$1,500,000","$1,500,000",$0,$0
35,486. Joshua Brown,UTA,29,"Jan. 21, 1994",Canada,217 lbs - 98 kg,"6'5"" - 196 cm",RD,Right,152 - Round 6 - 2013 (FLA),,,,51,3.0,7.0,10.0,0.2,2.0,44.0,0.07,14:45,1.94,44.0,83.0,57.0,0.15,3.51,6.62,4.55,304.0,495.0,38.04,573.0,1002.0,36.38,425.0,728.0,36.86,32.11,53.81,37.36,,,,,,,,,ARI,Standard (1-way),,"Jul. 13, 2022",28,,,,2,UFA,UFA,2024,"$1,275,000",1.5%,"$1,275,000","$1,300,000","$1,300,000","$1,300,000",$0,$0
36,487. Alexey Toropchenko,STL,24,"Jun. 25, 1999",Russia,187 lbs - 85 kg,"6'3"" - 191 cm","LW, RW",Left,113 - Round 4 - 2017 (STL),,,✔,82,14.0,7.0,21.0,0.26,-3.0,114.0,0.12,12:31,16.0,114.0,179.0,146.0,0.93,6.66,10.46,8.52,401.0,596.0,40.22,743.0,1177.0,38.7,546.0,836.0,39.51,36.92,58.18,38.82,,,,,,,,,STL,Standard (1-way),,"Jul. 16, 2023",24,✔,✔,,2,RFA,RFA,2025,"$1,250,000",1.5%,"$1,250,000","$1,250,000","$1,250,000","$1,250,000",$0,$0
37,488. Nikolai Knyzhov,SJS,25,"Mar. 20, 1998",Russia,195 lbs - 88 kg,"6'2"" - 188 cm",LD/RD,Left,,,,,10,0.0,1.0,1.0,0.1,-6.0,6.0,0.0,17:38,0.16,6.0,19.0,9.0,0.05,2.04,6.46,3.06,70.0,89.0,44.03,142.0,197.0,41.89,101.0,136.0,42.62,6.29,9.52,39.78,,,,,,,,,SJS,Standard (1-way),✔,"Mar. 29, 2023",25,✔,,,2,RFA,UFA,2025,"$1,250,000",1.5%,"$1,250,000","$1,100,000","$1,100,000","$1,100,000",$0,$0
38,489. Matthew Benning,SJS,29,"May 25, 1994",Canada,203 lbs - 92 kg,"6'1"" - 185 cm",RD,Right,175 - Round 6 - 2012 (BOS),,,,14,0.0,2.0,2.0,0.14,-5.0,13.0,0.0,18:28,0.23,13.0,32.0,21.0,0.05,3.01,7.42,4.87,94.0,189.0,33.22,183.0,365.0,33.39,140.0,263.0,34.74,10.23,24.02,29.87,,,,,,,,,SJS,Standard (1-way),,"Jul. 14, 2022",28,,,,4,UFA,UFA,2026,"$1,250,000",1.5%,"$1,250,000","$1,250,000","$1,250,000","$1,250,000",$0,$0
39,490. Jarred Tinordi,CHI,31,"Feb. 20, 1992",United States,225 lbs - 102 kg,"6'6"" - 198 cm",LD,Left,22 - Round 1 - 2010 (MTL),,,,52,0.0,9.0,9.0,0.17,-27.0,32.0,0.0,15:38,0.66,32.0,78.0,44.0,0.05,2.42,5.9,3.33,276.0,489.0,36.08,562.0,999.0,36.0,406.0,710.0,36.38,26.6,51.11,34.22,,,,,,,,,CHI,Standard (1-way),✔,"Apr. 11, 2023",31,,,,1,UFA,UFA,2024,"$1,250,000",1.5%,"$1,250,000","$1,250,000","$1,250,000","$1,250,000",$0,$0
40,491. Nicolas Aubé-Kubel,WSH,27,"May 10, 1996",Canada,187 lbs - 85 kg,"5'11"" - 180 cm",RW,Right,48 - Round 2 - 2014 (PHI),,,,60,6.0,10.0,16.0,0.27,4.0,58.0,0.1,12:12,5.85,58.0,137.0,98.0,0.48,4.75,11.22,8.02,253.0,339.0,42.74,552.0,734.0,42.92,380.0,526.0,41.94,21.01,30.01,41.18,,,,,,,,,WSH,Standard (1-way),✔,"Mar. 3, 2023",27,,,,1,UFA,UFA,2024,"$1,225,000",1.5%,"$1,225,000","$1,225,000","$1,000,000","$1,225,000","$225,000",$0
41,492. Joey Daccord,SEA,26,"Aug. 19, 1996",United States,197 lbs - 89 kg,"6'2"" - 188 cm",G,Left,199 - Round 7 - 2015 (OTT),,,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.0,18.0,3.0,2.46,0.916,2.45,2.82,0.37,SEA,Standard (1-way),✔,"Jun. 30, 2023",26,,,,2,UFA,UFA,2025,"$1,200,000",1.4%,"$1,200,000","$1,200,000","$1,200,000","$1,200,000",$0,$0
42,493. Jon Merrill,MIN,31,"Feb. 3, 1992",United States,195 lbs - 88 kg,"6'3"" - 191 cm",LD,Left,38 - Round 2 - 2010 (NJD),,,,65,4.0,7.0,11.0,0.17,0.0,42.0,0.1,12:46,2.38,42.0,92.0,61.0,0.17,3.07,6.72,4.46,344.0,385.0,47.19,727.0,777.0,48.34,518.0,540.0,48.96,28.26,32.4,46.59,,,,,,,,,MIN,Standard (1-way),✔,"Jan. 11, 2022",30,,,,3,UFA,UFA,2025,"$1,200,000",1.5%,"$1,200,000","$1,200,000","$1,200,000","$1,200,000",$0,$0
43,494. Colin Blackwell,CHI,30,"Mar. 28, 1993",United States,190 lbs - 86 kg,"5'9"" - 175 cm","C, RW",Right,194 - Round 7 - 2011 (SJS),,,,44,8.0,4.0,12.0,0.27,-2.0,88.0,0.09,14:29,8.86,87.0,161.0,118.0,0.85,8.35,15.46,11.33,266.0,314.0,45.86,518.0,665.0,43.79,374.0,474.0,44.1,23.13,35.97,39.14,,,,,,,,,CHI,Standard (1-way),,"Jul. 13, 2022",29,,,,2,UFA,UFA,2024,"$1,200,000",1.5%,"$1,200,000","$1,200,000","$1,200,000","$1,200,000",$0,$0
44,495. Sam Lafferty,VAN,28,"Mar. 6, 1995",United States,205 lbs - 93 kg,"6'2"" - 188 cm","RW, C, LW",Right,113 - Round 4 - 2014 (PIT),,,,79,13.0,11.0,24.0,0.3,4.0,78.0,0.17,11:52,12.03,78.0,147.0,115.0,0.78,5.04,9.51,7.44,385.0,431.0,47.18,806.0,863.0,48.29,563.0,632.0,47.11,37.1,40.01,48.11,,,,,,,,,CHI,Standard (1-way),✔,"Apr. 29, 2022",27,,,,2,UFA,UFA,2024,"$1,150,000",1.4%,"$1,150,000","$1,150,000","$1,150,000","$1,150,000",$0,$0
45,496. Nick Perbix,TBL,25,"Jun. 15, 1998",United States,200 lbs - 91 kg,"6'4"" - 193 cm",RD,Right,169 - Round 6 - 2017 (TBL),,,,77,2.0,22.0,24.0,0.31,8.0,57.0,0.04,17:04,3.22,58.0,151.0,88.0,0.15,2.65,6.9,4.01,584.0,628.0,48.18,1186.0,1250.0,48.69,849.0,863.0,49.59,58.36,61.25,48.79,,,,,,,,,TBL,Standard (1-way),✔,"Jan. 2, 2023",25,✔,,,2,RFA,UFA,2025,"$1,125,000",1.4%,"$1,125,000","$1,125,000","$1,032,500","$1,125,000","$92,500",$0
46,497. Christian Fischer,DET,26,"Apr. 15, 1997",United States,214 lbs - 97 kg,"6'2"" - 188 cm","RW, LW",Right,32 - Round 2 - 2015 (ARI),,,,79,5.0,14.0,19.0,0.24,0.0,86.0,0.06,11:24,9.77,86.0,139.0,117.0,0.65,5.73,9.26,7.79,371.0,495.0,42.84,713.0,1049.0,40.47,523.0,734.0,41.61,38.93,45.34,46.2,,,,,,,,,DET,Standard (1-way),,"Jul. 2, 2023",26,,,,1,UFA,UFA,2024,"$1,125,000",1.3%,"$1,125,000","$1,125,000","$1,125,000","$1,125,000",$0,$0
47,498. Charlie Lindgren,WSH,29,"Dec. 18, 1993",United States,182 lbs - 83 kg,"6'1"" - 185 cm",G,Right,,,,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.0,16.0,6.0,2.67,0.911,2.67,3.08,0.4,WSH,Standard (1-way),,"Jul. 13, 2022",28,,,,3,UFA,UFA,2025,"$1,100,000",1.3%,"$1,100,000","$1,100,000","$1,100,000","$1,100,000",$0,$0
48,499. Rafaël Harvey-Pinard,MTL,24,"Jan. 6, 1999",Canada,184 lbs - 83 kg,"5'9"" - 175 cm","LW, RW",Left,201 - Round 7 - 2019 (MTL),,,✔,45,2.0,8.0,10.0,0.22,-2.0,26.0,0.08,12:38,5.46,26.0,60.0,46.0,0.57,2.74,6.33,4.84,193.0,326.0,37.19,415.0,679.0,37.93,281.0,475.0,37.17,18.41,35.61,34.07,,,,,,,,,MTL,Standard (1-way),,"Jul. 3, 2023",24,✔,,,2,RFA,RFA,2025,"$1,100,000",1.3%,"$1,100,000","$1,200,000","$1,200,000","$1,200,000",$0,$0
49,500. Nils Höglander,VAN,22,"Dec. 20, 2000",Sweden,185 lbs - 84 kg,"5'9"" - 175 cm","LW, RW",Left,40 - Round 2 - 2019 (VAN),,,,80,24.0,12.0,36.0,0.45,23.0,120.0,0.2,12:06,18.23,119.0,197.0,173.0,1.14,7.49,12.39,10.88,450.0,389.0,53.64,963.0,803.0,54.53,686.0,582.0,54.1,47.02,36.82,56.08,,,,,,,,,VAN,Standard (1-way),,"Jul. 9, 2023",22,,,,2,RFA,RFA,2025,"$1,100,000",1.3%,"$1,100,000","$1,000,000","$1,000,000","$1,000,000",$0,$0
